top - 20:38:40 up 1 day,  7:54,  6 users,  load average: 0.05, 0.09, 0.13
Tasks: 162 total,   1 running, 161 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.7%us,  0.8%sy,  0.0%ni, 98.0%id,  0.4%wa,  0.0%hi,  0.1%si,  0.0%st
Mem:   1538040k total,  1432476k used,   105564k free,   431888k buffers
Swap:  2097148k total,    66472k used,  2030676k free,    98792k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                          
  885 root      20   0 15780  508  424 S    0  0.0   0:16.90 irqbalance                                                                                       
 1051 root      20   0 75608 1588 1028 S    0  0.1   0:00.59 cupsd                                                                                            
 1053 root      20   0 80384 2016 1672 S    0  0.1   0:02.41 gdm-binary                                                                                       
 1068 root      20   0 59768 1732 1676 S    0  0.1   0:00.49 console-kit-dae                                                                                  
 1143 root      20   0 37364 1520 1304 S    0  0.1   0:00.70 master                                                                                           
 1150 root      20   0 94844 1532 1528 S    0  0.1   0:00.21 gdm-simple-slav                                                                                  
 1370 root      20   0  128m 3028 1280 S    0  0.2   0:04.55 apache2                                                                                          
 1794 root      20   0  130m  256  136 S    0  0.0   0:42.20 vmware-vmblock-                                                                                  
 1824 root      20   0  6196  484  480 S    0  0.0   0:00.00 getty                                                                                            
 1847 root      20   0 85500 2068 1712 S    0  0.1  64:18.60 vmtoolsd                                                                                         
 1912 root      20   0  124m 1524 1524 S    0  0.1   0:00.03 gdm-session-wor                                                                                  
 1921 haya      20   0  171m 3424 2444 S    0  0.2   0:01.10 gnome-session                                                                                    
 1953 haya      20   0 57552 2228 1520 S    0  0.1   0:43.72 ibus-daemon                                                                                      
 1956 haya      20   0 62352 1968 1692 S    0  0.1   0:00.06 ibus-gconf                                                                                       
 1958 haya      20   0  375m  12m 6124 S    0  0.8   0:32.28 python                                                                                           
 1961 haya      20   0 12092   16    0 S    0  0.0   0:00.45 ssh-agent                                                                                        
 1962 haya      20   0  140m 3020 2212 S    0  0.2   0:40.50 ibus-x11                                                                                         
 1966 haya      20   0 26400  200  200 S    0  0.0   0:00.00 dbus-launch                                                                                      
 1970 haya      20   0 26440 2448  624 S    0  0.2   0:08.77 dbus-daemon                                                                                      
 1976 haya      20   0 59156 3604 1768 S    0  0.2   0:02.37 gconfd-2                                                                                         
